School,Municipality,Board,School Level,Students,Staff,Total Cases,Status
J R Wilcox Community School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Jack Miner Senior Public School,Toronto,Toronto DSB,Elementary,0,1,1,Active
James Culnan Catholic School,Toronto,Toronto CDSB,Elementary,7,2,9,Active
James S Bell Junior Middle School,Toronto,Toronto DSB,Elementary,2,0,2,Active
John English Junior Middle School,Toronto,Toronto DSB,Elementary,0,1,1,Active
John McCrae Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
John Polanyi Public School,Toronto,Toronto DSB,Secondary,1,2,3,Active
John Ross Robertson Junior Public School,Toronto,Toronto DSB,Elementary,3,1,4,Active
John Wanless Junior Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Joseph Brant Senior Public School,Toronto,Toronto DSB,Elementary,3,0,3,Active
Joseph Howe Senior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Joyce Public School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Karen Kain School of the Arts,Toronto,Toronto DSB,Elementary,0,1,1,Active
Keele Street Public School,Toronto,Toronto DSB,Elementary,3,0,3,Active
Keelesdale Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Kew Beach Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Kingslake Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Kingsview Village Junior School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Kipling Collegiate Institute,Toronto,Toronto DSB,Secondary,2,0,2,Active
Knob Hill Public School,Toronto,Toronto DSB,Elementary,4,0,4,Active
L'Amoreaux Collegiate Institute,Toronto,Toronto DSB,Secondary,1,0,1,Active
Lamberton Public School,Toronto,Toronto DSB,Elementary,1,1,2,Active
Lawrence Heights Middle School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Lawrence Park Collegiate Institute,Toronto,Toronto DSB,Secondary,2,0,2,Active
Leaside High School,Toronto,Toronto DSB,Secondary,1,0,1,Active
Ledbury Park Elementary and Middle School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Lescon Public School,Toronto,Toronto DSB,Elementary,3,0,3,Active
Lester B Pearson Collegiate Institute,Toronto,Toronto DSB,Secondary,4,0,4,Active
Lester B Pearson Elementary School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Lillian Public School,Toronto,Toronto DSB,Elementary,6,0,6,Active
Lord Dufferin Junior and Senior Public School,Toronto,Toronto DSB,Elementary,1,1,2,Active
Lord Lansdowne Junior Public School,Toronto,Toronto DSB,Elementary,4,0,4,Active
Loretto College School,Toronto,Toronto CDSB,Secondary,1,4,5,Active
Lynngate Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Lynnwood Heights Junior Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Madonna Catholic Secondary School,Toronto,Toronto CDSB,Secondary,2,0,2,Active
Malvern Collegiate,Toronto,Toronto DSB,Secondary,2,0,2,Active
Maple Leaf Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Marc Garneau Collegiate Institute,Toronto,Toronto DSB,Secondary,3,0,3,Active
Marshall McLuhan Catholic Secondary School,Toronto,Toronto CDSB,Secondary,7,0,7,Active
Martingrove Collegiate Institute,Toronto,Toronto DSB,Secondary,3,1,4,Active
Maryvale Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Mason Road Junior Public School,Toronto,Toronto DSB,Elementary,4,2,6,Active
Maurice Cody Junior Public,Toronto,Toronto DSB,Elementary,1,0,1,Active
McMurrich Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Melody Village Junior Public School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Michael Power/St Joseph High School,Toronto,Toronto CDSB,Secondary,2,0,2,Active
Military Trail Public School,Toronto,Toronto DSB,Elementary,3,1,4,Active
Millwood Junior School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Milne Valley Middle School,Toronto,Toronto DSB,Elementary,3,1,4,Active
Monarch Park Collegiate Institute,Toronto,Toronto DSB,Secondary,2,0,2,Active
Monsignor Fraser College,Toronto,Toronto CDSB,Secondary,1,0,1,Active
Monsignor Fraser College (Norfinch),Toronto,Toronto CDSB,Secondary,1,0,1,Active
Montrose Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Morse Street Public School,Toronto,Toronto DSB,Elementary,4,0,4,Active
Native Learning Centre East,Toronto,Toronto DSB,Secondary,1,0,1,Active
Nativity of Our Lord Catholic School,Toronto,Toronto CDSB,Elementary,1,1,2,Active
Neil McNeil High School,Toronto,Toronto CDSB,Secondary,7,0,7,Active
Nelson Mandela Park Public School,Toronto,Toronto DSB,Elementary,5,0,5,Active
Newtonbrook Secondary School,Toronto,Toronto DSB,Secondary,3,1,4,Active
Norseman Junior Middle School,Toronto,Toronto DSB,Elementary,2,1,3,Active
North Agincourt Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
North Bridlewood Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
North Kipling Junior Middle School,Toronto,Toronto DSB,Elementary,3,0,3,Active
North Preparatory Junior Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
North Toronto Collegiate,Toronto,Toronto DSB,Secondary,1,0,1,Active
Northern Secondary School,Toronto,Toronto DSB,Secondary,3,0,3,Active
Northview Heights Secondary School,Toronto,Toronto DSB,Secondary,5,0,5,Active
Norway Junior Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Notre Dame Catholic High School,Toronto,Toronto CDSB,Secondary,1,0,1,Active
O'Connor Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Oakdale Park Middle School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Oakridge Junior Public School,Toronto,Toronto DSB,Elementary,5,1,6,Active
Oakwood Collegiate Institute,Toronto,Toronto DSB,Secondary,3,0,3,Active
Orde Street Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Ossington/Old Orchard Junior Public School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Our Lady of Guadalupe Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
Our Lady of Perpetual Help Catholic School,Toronto,Toronto CDSB,Elementary,0,1,1,Active
Our Lady of Victory Catholic School,Toronto,Toronto CDSB,Elementary,7,0,7,Active
Our Lady of Wisdom Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
Palmerston Avenue Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Park Lane Public School,Toronto,Toronto DSB,Elementary,1,1,2,Active
Park Lawn Junior and Middle School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Parkdale Collegiate Institute,Toronto,Toronto DSB,Secondary,5,0,5,Active
Parkdale Junior and Senior Public School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Parkside Elementary School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Pauline Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Pelmo Park Public School,Toronto,Toronto DSB,Elementary,3,0,3,Active
Pierre Laporte Middle School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Pleasant View Middle School,Toronto,Toronto DSB,Elementary,5,0,5,Active
Pope St Francis Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
Port Royal Public School,Toronto,Toronto DSB,Elementary,2,1,3,Active
Precious Blood Catholic School,Toronto,Toronto CDSB,Elementary,2,1,3,Active
Queen Victoria Junior Public School,Toronto,Toronto DSB,Elementary,4,0,4,Active
R H McGregor Elementary School,Toronto,Toronto DSB,Elementary,5,1,6,Active
R.H. King Academy,Toronto,Toronto DSB,Secondary,2,0,2,Active
Ranchdale Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Rawlinson Community School,Toronto,Toronto DSB,Elementary,3,0,3,Active
Regent Heights Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Rene Gordon Health and Wellness Academy,Toronto,Toronto DSB,Elementary,7,0,7,Active
Richview Collegiate Intstitute,Toronto,Toronto DSB,Secondary,1,0,1,Active
Rivercrest Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Riverdale Collegiate Institute,Toronto,Toronto DSB,Secondary,4,1,5,Active
Rockcliffe Middle School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Rockford Public School,Toronto,Toronto DSB,Elementary,4,1,5,Active
Roden Public School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Rose Avenue Public School,Toronto,Toronto DSB,Elementary,4,2,6,Active
Rosedale Heights School of the Arts,Toronto,Toronto DSB,Secondary,3,1,4,Active
Rosedale Junior Public School,Toronto,Toronto DSB,Elementary,3,2,5,Active
Rouge Valley Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Roywood Public School,Toronto,Toronto DSB,Elementary,3,0,3,Active
Runnymede Collegiate Institute,Toronto,Toronto DSB,Secondary,1,1,2,Active
Ryerson Community School Junior Senior,Toronto,Toronto DSB,Elementary,7,0,7,Active
SATEC at W A Porter Collegiate Institute,Toronto,Toronto DSB,Secondary,2,1,3,Active
Sacred Heart Catholic School,Toronto,Toronto CDSB,Elementary,2,0,2,Active
Samuel Hearne Middle School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Second Street Junior Middle School,Toronto,Toronto DSB,Elementary,6,0,6,Active
Secord Elementary,Toronto,Toronto DSB,Elementary,3,2,5,Active
Selwyn ES,Toronto,Toronto DSB,Elementary,3,0,3,Active
Senator O'Connor College School,Toronto,Toronto CDSB,Secondary,5,0,5,Active
Shaughnessy Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Sheppard Public School,Toronto,Toronto DSB,Elementary,2,2,4,Active
Shirley Street Junior Public School,Toronto,Toronto DSB,Elementary,1,1,2,Active
Silverthorn Community School,Toronto,Toronto DSB,Elementary,2,1,3,Active
Sir Alexander Mackenzie Senior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Sir Ernest Macmillan Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Sir John A Macdonald Collegiate Institute,Toronto,Toronto DSB,Secondary,3,0,3,Active
Sir Oliver Mowat Collegiate Institute,Toronto,Toronto DSB,Secondary,1,1,2,Active
Sir Wilfred Laurier Collegiate Institute,Toronto,Toronto DSB,Secondary,3,0,3,Active
Sir William Osler High School,Toronto,Toronto DSB,Secondary,1,0,1,Active
St Alphonsus Catholic School,Toronto,Toronto CDSB,Elementary,4,0,4,Active
St Ambrose Catholic School,Toronto,Toronto CDSB,Elementary,0,1,1,Active
St Andrew Catholic School,Toronto,Toronto CDSB,Elementary,0,1,1,Active
St Angela Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
St Anselm Catholic School,Toronto,Toronto CDSB,Elementary,2,0,2,Active
St Antoine Daniel Catholic School,Toronto,Toronto CDSB,Elementary,0,1,1,Active
St Augustine Catholic School,Toronto,Toronto CDSB,Elementary,3,0,3,Active
St Barbara Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
St Bartholomew Catholic School,Toronto,Toronto CDSB,Elementary,2,0,2,Active
St Benedict Catholic School,Toronto,Toronto CDSB,Elementary,1,1,2,Active
St Boniface Catholic School,Toronto,Toronto CDSB,Elementary,3,0,3,Active
St Brendan Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
St Brigid Catholic School,Toronto,Toronto CDSB,Elementary,5,1,6,Active
St Bruno/St Raymond Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
St Cecilia Catholic School,Toronto,Toronto CDSB,Elementary,1,1,2,Active
St Clare Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
St Dominic Savio Catholic School,Toronto,Toronto CDSB,Elementary,5,0,5,Active
St Dorothy Catholic School,Toronto,Toronto CDSB,Elementary,0,2,2,Active
St Dunstan Catholic School,Toronto,Toronto CDSB,Elementary,3,0,3,Active
St Edmund Campion Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
St Edward Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
St Eugene Catholic School,Toronto,Toronto CDSB,Elementary,6,1,7,Active
St Francis Xavier Catholic School,Toronto,Toronto CDSB,Elementary,2,0,2,Active
St Gregory Catholic School,Toronto,Toronto CDSB,Elementary,2,1,3,Active
St Ignatius of Loyola Catholic School,Toronto,Toronto CDSB,Elementary,2,0,2,Active
St Isaac Jogues Catholic School,Toronto,Toronto CDSB,Elementary,3,0,3,Active
St James Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
St Jean de Brebeuf Catholic School,Toronto,Toronto CDSB,Elementary,3,0,3,Active
St Joan of Arc Catholic Academy,Toronto,Toronto CDSB,Secondary,2,0,2,Active
St John Catholic School,Toronto,Toronto CDSB,Elementary,4,0,4,Active
St John Henry Newman Catholic High School,Toronto,Toronto CDSB,Secondary,5,0,5,Active
St John XXlll Catholic School,Toronto,Toronto CDSB,Elementary,2,0,2,Active
St John the Evangelist Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
St Joseph's College School,Toronto,Toronto CDSB,Secondary,0,1,1,Active
St Jude Catholic School,Toronto,Toronto CDSB,Elementary,7,3,10,Active
St Kateri Tekakwitha Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
St Margaret Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
St Margaret's Public School,Toronto,Toronto DSB,Elementary,1,1,2,Active
St Marguerite Bourgeoys Catholic Catholic School,Toronto,Toronto CDSB,Elementary,0,1,1,Active
St Maria Goretti Catholic School,Toronto,Toronto CDSB,Elementary,5,1,6,Active
St Mark Catholic School,Toronto,Toronto CDSB,Elementary,3,0,3,Active
St Martha Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
St Mary Catholic Academy Secondary School,Toronto,Toronto CDSB,Secondary,3,2,5,Active
St Mary Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
St Mary of Angels Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
St Matthew Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
St Maurice Catholic School,Toronto,Toronto CDSB,Elementary,0,1,1,Active
St Michael's Choir (Jr) School,Toronto,Toronto CDSB,Elementary,0,1,1,Active
St Monica Catholic School,Toronto,Toronto CDSB,Elementary,2,0,2,Active
St Mother Teresa Catholic Academy Secondary School,Toronto,Toronto CDSB,Secondary,0,1,1,Active
St Nicholas of Bari Catholic School,Toronto,Toronto CDSB,Elementary,2,0,2,Active
St Norbert Catholic School,Toronto,Toronto CDSB,Elementary,2,0,2,Active
St Padre Pio Catholic Elementary School,Toronto,York CDSB,Elementary,0,0,3,Active
St Patrick Catholic Secondary School,Toronto,Toronto CDSB,Secondary,2,0,2,Active
St Paul VI Catholic School,Toronto,Toronto CDSB,Elementary,0,1,1,Active
St Pius X Catholic School,Toronto,Toronto CDSB,Elementary,0,1,1,Active
St Rose of Lima Catholic School,Toronto,Toronto CDSB,Elementary,7,0,7,Active
St Simon Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
St Sylvester Catholic School,Toronto,Toronto CDSB,Elementary,2,0,2,Active
St Theresa Shrine Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
St Ursula Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
St Victor Catholic School,Toronto,Toronto CDSB,Elementary,2,0,2,Active
Stanley Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Steelesview PS,Toronto,Toronto DSB,Elementary,1,0,1,Active
Stephen Leacock Collegiate Institute,Toronto,Toronto DSB,Secondary,3,0,3,Active
Stilecroft Public School,Toronto,Toronto DSB,Elementary,1,2,3,Active
Sts Cosmas and Damian Catholic School,Toronto,Toronto CDSB,Elementary,0,1,1,Active
Summit Heights Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Sunny View Junior and Senior Public School,Toronto,Toronto DSB,Elementary,1,1,2,Active
Tam O'Shanter Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Taylor Creek Public School,Toronto,Toronto DSB,Elementary,1,1,2,Active
Tecumseh Senior Public School,Toronto,Toronto DSB,Elementary,3,0,3,Active
Terraview-Willowfield Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
The Holy Trinity Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
Thistletown Collegiate Institute,Toronto,Toronto DSB,Secondary,2,0,2,Active
Thomas L Wells Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Thorncliffe Park Public School,Toronto,Toronto DSB,Elementary,7,0,7,Active
Three Valleys Public School,Toronto,Toronto DSB,Elementary,4,0,4,Active
Timberbank Junior Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Tom Longboat Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Tredway Woodsworth Public School,Toronto,Toronto DSB,Elementary,4,0,4,Active
Ursula Franklin Academy,Toronto,Toronto DSB,Secondary,1,0,1,Active
Valley Park Middle School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Victoria Park Collegiate Institute,Toronto,Toronto DSB,Secondary,1,0,1,Active
Victoria Village Public School,Toronto,Toronto DSB,Elementary,8,1,9,Active
Vradenburg Junior Public School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Walter Perry Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Wedgewood Junior School,Toronto,Toronto DSB,Elementary,1,0,1,Active
West Hill Collegiate Institute,Toronto,Toronto DSB,Secondary,2,1,3,Active
West Hill Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
West Humber CI,Toronto,Toronto DSB,Secondary,4,1,5,Active
West Preparatory Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
West Rouge Junior Public School,Toronto,Toronto DSB,Elementary,1,1,2,Active
Westmount Junior School,Toronto,Toronto DSB,Elementary,0,2,2,Active
Weston Memorial Junior Public School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Westview Centennial Secondary School,Toronto,Toronto DSB,Secondary,2,0,2,Active
Westway Junior School,Toronto,Toronto DSB,Elementary,2,1,3,Active
Westwood Middle School,Toronto,Toronto DSB,Elementary,4,1,5,Active
Wexford Collegiate School for the Arts,Toronto,Toronto DSB,Secondary,3,0,3,Active
Wexford Public School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Whitney Junior Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Wilkinson Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
William Burgess Elementary School,Toronto,Toronto DSB,Elementary,1,0,1,Active
William G Miller Junior Public School,Toronto,Toronto DSB,Elementary,1,1,2,Active
William Lyon Mackenzie Collegiate Institute,Toronto,Toronto DSB,Secondary,6,1,7,Active
Willowdale Middle School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Winchester Junior & Senior Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Windfields Middle School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Winona Drive Senior Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Withrow Avenue Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Woburn Collegiate Institute,Toronto,Toronto DSB,Secondary,2,0,2,Active
Woodbine Middle School,Toronto,Toronto DSB,Elementary,1,0,1,Active
York Memorial Collegiate Institute,Toronto,Toronto DSB,Secondary,1,0,1,Active
York Mills Collegiate Institute,Toronto,Toronto DSB,Secondary,1,0,1,Active
Yorkdale Adult Learning Centre,Toronto,Toronto DSB,Secondary,3,0,3,Active
Zion Heights Middle School,Toronto,Toronto DSB,Elementary,1,1,2,Active
Ã‰cole Secondaire Toronto Ouest,Toronto,CS Viamonde,Secondary,1,0,1,Active
Ã‰cole Ã©lÃ©mentaire Charles Sauriol,Toronto,CS Viamonde,Elementary,1,0,1,Active
Ã‰cole Ã©lÃ©mentaire FÃ©lix-Leclerc,Toronto,CS Viamonde,Elementary,2,0,2,Active
Ã‰cole Ã©lÃ©mentaire Jeanne-Lajoie,Toronto,CS Viamonde,Elementary,1,0,1,Active
Ã‰cole Ã©lÃ©mentaire Laure RiÃ¨se,Toronto,CS Viamonde,Elementary,4,1,5,Active
Ã‰cole Ã©lÃ©mentaire Mathieu-da-Costa,Toronto,CS Viamonde,Elementary,1,1,2,Active
Ã‰cole Ã©lÃ©mentaire/intermÃ©diaire/ secondaire Saint-FrÃ¨re-AndrÃ©,Toronto,CS catholique MonAvenir,Secondary,1,0,1,Active
